id: 0x4f4, data: ['0x00', '0x00', '0x00', '0x00', '0x7d', '0x00', '0x00', '0xee'], timestamp: 1723602079.8425741
id: 0x4d2, data: ['0xab', '0xdf', '0x61', '0x80', '0x05', '0x6a', '0x00', '0x00'], timestamp: 1723602080.7475739
id: 0x3c9, data: ['0x9a', '0x6b', '0x12', '0xc2', '0x54', '0x1c', '0xd2', '0xe6'], timestamp: 1723602080.7700746
id: 0x3a8, data: ['0x00', '0xf0', '0x00', '0x00', '0x00', '0x00', '0x00', '0x33'], timestamp: 1723602080.7900763
id: 0x134, data: ['0x00', '0x00', '0x00', '0x00', '0x22', '0x00', '0xca', '0x00'], timestamp: 1723602080.8115737
id: 0x32b, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x7e', '0x00', '0x00'], timestamp: 1723602080.831574
id: 0x1d9, data: ['0x20', '0x97', '0x00', '0x00', '0xfc', '0x00', '0xb3', '0x43'], timestamp: 1723602080.8510766
id: 0x734, data: ['0xd0', '0x33', '0x00', '0xa2', '0x00', '0x19', '0x15', '0xea'], timestamp: 1723602080.8715734
id: 0x630, data: ['0xba', '0x05', '0x38', '0xf3', '0x2a', '0x0c', '0x00', '0x00'], timestamp: 1723602080.8920736
id: 0x4fc, data: ['0x31', '0x00', '0x8d', '0xa1', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602080.913074
id: 0x4b7, data: ['0x22', '0xea', '0x16', '0x35', '0x5d', '0xec', '0x61', '0x47'], timestamp: 1723602080.9345741
id: 0x243, data: ['0x57', '0x10', '0x93', '0xb0', '0xa4', '0x97', '0x1d', '0x09'], timestamp: 1723602080.954574
id: 0x303, data: ['0x40', '0x39', '0x64', '0xfb', '0x38', '0xea', '0xc7', '0xa4'], timestamp: 1723602080.9745736
id: 0x13d, data: ['0xec', '0x00', '0xfa', '0x00', '0x48', '0x9c', '0xe9', '0x00'], timestamp: 1723602080.995074
id: 0x4a0, data: ['0x00', '0x00', '0x00', '0x58', '0x00', '0x00', '0x97', '0x00'], timestamp: 1723602081.0155747
id: 0x12b, data: ['0x74', '0x00', '0x97', '0x25', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602081.0360756
id: 0x7a7, data: ['0x00', '0xe5', '0x00', '0x00', '0x0d', '0xb0', '0x00', '0x00'], timestamp: 1723602081.056074
id: 0x38c, data: ['0x0f', '0x7b', '0xdf', '0x6a', '0xb1', '0x26', '0x6d', '0x93'], timestamp: 1723602081.0770738
id: 0x047, data: ['0xd7', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x2c'], timestamp: 1723602081.0975735
id: 0x248, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x4a', '0x00'], timestamp: 1723602081.1170762
id: 0x3ab, data: ['0x3a', '0x66', '0x55', '0x00', '0xb5', '0x00', '0x24', '0x43'], timestamp: 1723602081.1370735
id: 0x40e, data: ['0x22', '0x00', '0x1c', '0xf0', '0x69', '0x00', '0x56', '0x00'], timestamp: 1723602081.1570742
id: 0x6b6, data: ['0x00', '0x08', '0x00', '0xb7', '0x00', '0xff', '0xcd', '0x0b'], timestamp: 1723602081.1770763
id: 0x107, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x56', '0x00'], timestamp: 1723602081.197574
id: 0x07c, data: ['0x44', '0xfe', '0x04', '0x2b', '0x85', '0x00', '0x00', '0x00'], timestamp: 1723602081.2170758
id: 0x22d, data: ['0xb8', '0x00', '0x76', '0x1d', '0x40', '0x6a', '0x96', '0x00'], timestamp: 1723602081.238074
id: 0x64d, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x18', '0x00', '0x00'], timestamp: 1723602081.2575736
id: 0x150, data: ['0xaa', '0x83', '0x00', '0x88', '0x00', '0x5a', '0x00', '0x3b'], timestamp: 1723602081.2775764
id: 0x145, data: ['0x00', '0x00', '0x98', '0x00', '0x18', '0x00', '0x74', '0x00'], timestamp: 1723602081.2980735
id: 0x492, data: ['0xc2', '0x00', '0x00', '0x00', '0x00', '0x00', '0xea', '0x00'], timestamp: 1723602081.320074
id: 0x5b5, data: ['0x94', '0x00', '0xb8', '0x00', '0x99', '0xbc', '0x00', '0x00'], timestamp: 1723602081.3400767
id: 0x2e7, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0xb1', '0x00', '0x00'], timestamp: 1723602081.360074
id: 0x005, data: ['0x00', '0x93', '0x96', '0x00', '0x00', '0x00', '0x00', '0xbc'], timestamp: 1723602081.381074
id: 0x5b6, data: ['0x00', '0x00', '0x30', '0x00', '0x00', '0x00', '0x00', '0x67'], timestamp: 1723602081.4030735
id: 0x0ce, data: ['0x00', '0x00', '0xa7', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602081.423574
id: 0x257, data: ['0x00', '0x7a', '0x94', '0x00', '0x55', '0x00', '0x00', '0x00'], timestamp: 1723602081.4445734
id: 0x200, data: ['0x00', '0x00', '0x00', '0x97', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602081.465077
id: 0x7ff, data: ['0x84', '0x25', '0x31', '0x00', '0x06', '0x7d', '0x23', '0x83'], timestamp: 1723602081.4860735
id: 0x21c, data: ['0x00', '0x00', '0x00', '0x4e', '0x00', '0x05', '0x00', '0xd2'], timestamp: 1723602081.5065732
id: 0x33f, data: ['0x89', '0x24', '0x37', '0xfa', '0x63', '0x2a', '0xdf', '0x8c'], timestamp: 1723602081.5265737
id: 0x10f, data: ['0x00', '0x00', '0x00', '0x00', '0x78', '0x00', '0xf2', '0x33'], timestamp: 1723602081.5465744
id: 0x072, data: ['0x00', '0x00', '0xf3', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602081.5670738
id: 0x121, data: ['0x00', '0x95', '0x79', '0x91', '0x00', '0x00', '0x82', '0xd4'], timestamp: 1723602081.5865738
id: 0x2d0, data: ['0x00', '0x00', '0x00', '0x00', '0xef', '0xcc', '0x00', '0xa5'], timestamp: 1723602081.6070735
id: 0x11b, data: ['0x78', '0x30', '0xdc', '0x50', '0x09', '0x02', '0xb3', '0x05'], timestamp: 1723602081.627074
id: 0x0fa, data: ['0x14', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602081.6480737
id: 0x663, data: ['0x00', '0xff', '0x00', '0xfb', '0x22', '0x01', '0x00', '0x3d'], timestamp: 1723602081.669073
id: 0x444, data: ['0xe2', '0xab', '0x96', '0x00', '0x1f', '0xd5', '0xf5', '0x00'], timestamp: 1723602081.6900735
id: 0x6d9, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x17', '0x00', '0x00'], timestamp: 1723602081.7105737
id: 0x5de, data: ['0x00', '0xe5', '0x00', '0x78', '0x22', '0x00', '0x00', '0x45'], timestamp: 1723602081.730574
id: 0x7ad, data: ['0xf0', '0xae', '0x1c', '0x4b', '0x28', '0x91', '0xbe', '0xf2'], timestamp: 1723602081.7505736
id: 0x020, data: ['0x00', '0x00', '0x0d', '0x5e', '0xf1', '0xf1', '0x04', '0x00'], timestamp: 1723602081.7710738
id: 0x314, data: ['0x63', '0x5e', '0xa1', '0x3e', '0x23', '0x00', '0xc1', '0x00'], timestamp: 1723602081.7945735
id: 0x024, data: ['0xed', '0x8f', '0xb9', '0x00', '0xf8', '0x00', '0x00', '0xc1'], timestamp: 1723602081.815075
id: 0x5dc, data: ['0x04', '0xe2', '0x9d', '0x7f', '0x81', '0x00', '0x22', '0x90'], timestamp: 1723602081.8350737
id: 0x5a4, data: ['0x27', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602081.8555734
id: 0x6af, data: ['0x71', '0x47', '0x73', '0x77', '0x51', '0xf7', '0xa9', '0xca'], timestamp: 1723602081.8765733
id: 0x3d9, data: ['0x00', '0xb0', '0x00', '0x61', '0x00', '0x01', '0x00', '0x4e'], timestamp: 1723602081.8965738
id: 0x7d2, data: ['0x00', '0xb9', '0x00', '0x45', '0x1c', '0x38', '0x09', '0x4d'], timestamp: 1723602081.9180737
id: 0x31a, data: ['0x00', '0x00', '0x60', '0x00', '0x00', '0x00', '0xa6', '0x00'], timestamp: 1723602081.938074
id: 0x031, data: ['0x35', '0xa7', '0x00', '0x00', '0x00', '0x00', '0x00', '0x3b'], timestamp: 1723602081.9580736
id: 0x19b, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xea', '0x00'], timestamp: 1723602081.9780734
id: 0x48f, data: ['0x72', '0x2d', '0x3a', '0x00', '0x1d', '0x40', '0x6a', '0x3e'], timestamp: 1723602082.001574
id: 0x138, data: ['0x63', '0x00', '0x00', '0x00', '0x00', '0x87', '0x68', '0x00'], timestamp: 1723602082.027076
id: 0x5a7, data: ['0x1d', '0x0b', '0x00', '0x9b', '0x7d', '0x2e', '0xe1', '0xf7'], timestamp: 1723602082.049074
id: 0x7e6, data: ['0x00', '0x00', '0x00', '0x8b', '0x00', '0x00', '0x32', '0x75'], timestamp: 1723602082.0715759
id: 0x7c0, data: ['0x00', '0xe1', '0x00', '0xa8', '0x00', '0x00', '0x00', '0x6c'], timestamp: 1723602082.0965745
id: 0x7f3, data: ['0xba', '0x46', '0x00', '0xd7', '0x4a', '0x00', '0x77', '0x44'], timestamp: 1723602082.117576
id: 0x48f, data: ['0x41', '0xe5', '0xa6', '0xe3', '0x65', '0xa3', '0x8b', '0x21'], timestamp: 1723602082.1395743
id: 0x107, data: ['0x00', '0xfa', '0x41', '0x4b', '0x35', '0x6e', '0x7e', '0x34'], timestamp: 1723602082.1605737
id: 0x697, data: ['0x00', '0x20', '0x00', '0x00', '0x00', '0x79', '0x1b', '0x00'], timestamp: 1723602082.1825736
id: 0x505, data: ['0x51', '0x29', '0x8b', '0x98', '0x00', '0x28', '0x00', '0x63'], timestamp: 1723602082.204574
id: 0x7aa, data: ['0xdb', '0xa1', '0x00', '0x4a', '0x38', '0xef', '0x73', '0x7e'], timestamp: 1723602082.2250738
id: 0x53d, data: ['0x83', '0x45', '0x48', '0x67', '0xbe', '0x7f', '0x04', '0xbd'], timestamp: 1723602082.2470741
id: 0x1ab, data: ['0x00', '0x00', '0x00', '0x73', '0x00', '0x00', '0x20', '0x00'], timestamp: 1723602082.2690735
id: 0x0aa, data: ['0x00', '0x00', '0xd0', '0xba', '0x00', '0x00', '0x0c', '0x00'], timestamp: 1723602082.290074
id: 0x4fb, data: ['0x00', '0x00', '0x72', '0x00', '0x00', '0x78', '0x90', '0x24'], timestamp: 1723602082.3180733
id: 0x6b2, data: ['0x00', '0x5d', '0xc5', '0x17', '0xf5', '0x47', '0xbb', '0x22'], timestamp: 1723602082.3410735
id: 0x247, data: ['0x00', '0x00', '0xf3', '0x00', '0x00', '0x10', '0x4a', '0x6c'], timestamp: 1723602082.361074
id: 0x323, data: ['0x00', '0xe9', '0x03', '0xac', '0x32', '0xc7', '0x9f', '0x66'], timestamp: 1723602082.380576
id: 0x3f4, data: ['0x00', '0x00', '0x00', '0x2a', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602082.4035738
id: 0x431, data: ['0x85', '0xb1', '0x00', '0x54', '0xc1', '0xf5', '0xe4', '0x00'], timestamp: 1723602082.4240732
id: 0x206, data: ['0x00', '0x00', '0x91', '0x66', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602082.4435732
id: 0x000, data: ['0xdd', '0x6d', '0x00', '0x4c', '0x6c', '0x00', '0x00', '0x00'], timestamp: 1723602082.4630733
id: 0x6b8, data: ['0x00', '0xe4', '0xcc', '0x00', '0x37', '0x00', '0x00', '0x00'], timestamp: 1723602082.4840744
id: 0x72f, data: ['0xb9', '0x00', '0xfa', '0x32', '0x00', '0x00', '0x68', '0x84'], timestamp: 1723602082.504574
id: 0x2a4, data: ['0xda', '0xed', '0x8d', '0x1b', '0x65', '0x1b', '0x00', '0x8a'], timestamp: 1723602082.5255744
id: 0x5ae, data: ['0x00', '0x0c', '0x00', '0x00', '0x10', '0x00', '0x13', '0x00'], timestamp: 1723602082.5460734
id: 0x0dd, data: ['0x5b', '0x00', '0xb5', '0x00', '0x9e', '0x1d', '0x00', '0x7a'], timestamp: 1723602082.568573
id: 0x0aa, data: ['0x00', '0x0e', '0xca', '0x4e', '0x9b', '0x00', '0xcf', '0x31'], timestamp: 1723602082.589073
id: 0x7f1, data: ['0xde', '0xd8', '0xde', '0xdf', '0x0f', '0xcb', '0xff', '0xf4'], timestamp: 1723602082.6095731
id: 0x034, data: ['0x90', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602082.630573
id: 0x42c, data: ['0x8b', '0xd2', '0xd9', '0x2c', '0x6f', '0x85', '0x74', '0xbd'], timestamp: 1723602082.6495733
id: 0x643, data: ['0x96', '0x68', '0x00', '0x80', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602082.6700735
id: 0x743, data: ['0x25', '0xda', '0xd0', '0xce', '0x00', '0xc3', '0xff', '0xe7'], timestamp: 1723602082.6894948
id: 0x026, data: ['0xf1', '0xaa', '0xdd', '0xb5', '0xc7', '0xb4', '0x54', '0xa2'], timestamp: 1723602082.7095733
id: 0x792, data: ['0x91', '0x00', '0xf3', '0x00', '0x00', '0xd0', '0x00', '0x00'], timestamp: 1723602082.729074
id: 0x497, data: ['0x00', '0x90', '0x6d', '0x75', '0xaa', '0x00', '0x4f', '0x00'], timestamp: 1723602082.7495737
id: 0x39a, data: ['0x73', '0x3d', '0x5a', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602082.769074
id: 0x329, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x33'], timestamp: 1723602082.7910743
id: 0x3ec, data: ['0x09', '0x27', '0x19', '0xeb', '0x61', '0xf7', '0x17', '0x31'], timestamp: 1723602082.8115761
id: 0x625, data: ['0x96', '0x94', '0x93', '0xdb', '0x00', '0x1d', '0xbd', '0xd1'], timestamp: 1723602082.830574
id: 0x429, data: ['0x1b', '0xe7', '0x54', '0x8c', '0x37', '0x25', '0x37', '0x58'], timestamp: 1723602082.8510737
id: 0x626, data: ['0xf5', '0x00', '0x00', '0x21', '0x87', '0x00', '0x00', '0x29'], timestamp: 1723602082.871573
id: 0x508, data: ['0x0b', '0xc6', '0x00', '0x00', '0x00', '0x00', '0x00', '0x7b'], timestamp: 1723602082.8915756
id: 0x786, data: ['0x28', '0x36', '0x23', '0xd0', '0x00', '0x00', '0x8d', '0x84'], timestamp: 1723602082.9110744
id: 0x42d, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x4e'], timestamp: 1723602082.9360745
id: 0x517, data: ['0x3d', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602082.9585738
id: 0x566, data: ['0x00', '0x00', '0x3d', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602082.9795735
id: 0x141, data: ['0x65', '0x00', '0x00', '0x00', '0x00', '0x00', '0xea', '0x8c'], timestamp: 1723602083.0000737
id: 0x5a6, data: ['0xea', '0x3a', '0x13', '0x14', '0xf5', '0xaf', '0x1c', '0x93'], timestamp: 1723602083.0195735
id: 0x158, data: ['0x3f', '0xee', '0x0a', '0xaa', '0x4d', '0x69', '0x42', '0xa5'], timestamp: 1723602083.0395734
id: 0x590, data: ['0xd5', '0xc2', '0x87', '0xec', '0x00', '0x00', '0x4e', '0x00'], timestamp: 1723602083.0600734
id: 0x4d2, data: ['0x41', '0x00', '0x00', '0x00', '0x00', '0xf5', '0x00', '0x00'], timestamp: 1723602083.0795727
id: 0x756, data: ['0x61', '0x6c', '0x00', '0x94', '0x00', '0x7c', '0x84', '0x00'], timestamp: 1723602083.099574
id: 0x7ea, data: ['0x00', '0x22', '0xb1', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602083.1195726
id: 0x323, data: ['0xe9', '0x70', '0x82', '0x00', '0xce', '0xee', '0xc3', '0xa9'], timestamp: 1723602083.1395738
id: 0x6dd, data: ['0x00', '0x00', '0xf7', '0x00', '0x00', '0x7e', '0x00', '0x00'], timestamp: 1723602083.1620767
id: 0x0f5, data: ['0x00', '0x24', '0x00', '0x00', '0x00', '0x00', '0x5c', '0x00'], timestamp: 1723602083.1825738
id: 0x2ba, data: ['0xf4', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x9d'], timestamp: 1723602083.2020752
id: 0x227, data: ['0xce', '0x00', '0x00', '0x26', '0x76', '0x79', '0xae', '0xf9'], timestamp: 1723602083.2230735
id: 0x778, data: ['0x10', '0x95', '0xf5', '0x00', '0x21', '0x9f', '0x2a', '0x6b'], timestamp: 1723602083.2430747
id: 0x700, data: ['0x1c', '0x03', '0x5b', '0x06', '0xe3', '0x42', '0x82', '0xcb'], timestamp: 1723602083.2635748
id: 0x178, data: ['0x7c', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602083.2835732
id: 0x0ce, data: ['0xd1', '0x37', '0x68', '0x2d', '0x49', '0x12', '0xd4', '0x77'], timestamp: 1723602083.304075
id: 0x1f6, data: ['0xd5', '0x9c', '0x89', '0x4c', '0x7a', '0x43', '0x6a', '0x5b'], timestamp: 1723602083.3245738
id: 0x4f9, data: ['0x00', '0x00', '0x00', '0x3e', '0x00', '0x00', '0xd9', '0xab'], timestamp: 1723602083.346076
id: 0x640, data: ['0x00', '0xf2', '0x1b', '0x00', '0x8a', '0x2b', '0x8f', '0x0a'], timestamp: 1723602083.3670738
id: 0x0d1, data: ['0x00', '0x76', '0xb4', '0xd3', '0x13', '0x8d', '0x00', '0xea'], timestamp: 1723602083.3880744
id: 0x2fd, data: ['0x00', '0x00', '0x65', '0x00', '0x1c', '0x14', '0xe5', '0x00'], timestamp: 1723602083.4105816
id: 0x59a, data: ['0x00', '0x00', '0x00', '0xe2', '0x99', '0x00', '0x00', '0x00'], timestamp: 1723602083.4310746
id: 0x1d7, data: ['0x00', '0xec', '0x94', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602083.4510772
id: 0x48a, data: ['0xc0', '0x00', '0x8a', '0x00', '0x6e', '0xf4', '0x00', '0x51'], timestamp: 1723602083.4725735
id: 0x6ce, data: ['0x6c', '0x00', '0x00', '0x00', '0xfa', '0x00', '0x00', '0x00'], timestamp: 1723602083.4930747
id: 0x1ea, data: ['0xba', '0xc2', '0xed', '0xea', '0x00', '0xc6', '0x6f', '0x91'], timestamp: 1723602083.5165732
id: 0x21a, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xee'], timestamp: 1723602083.5365746
id: 0x100, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0xf6'], timestamp: 1723602083.5570781
id: 0x19d, data: ['0x8b', '0x4f', '0xcd', '0xf5', '0x00', '0x88', '0xd2', '0x7b'], timestamp: 1723602083.5785742
id: 0x503, data: ['0x3b', '0xdb', '0xa8', '0xcb', '0x00', '0x00', '0x00', '0xd8'], timestamp: 1723602083.5975735
id: 0x4cd, data: ['0x00', '0xc1', '0xee', '0x00', '0x2c', '0xf3', '0x00', '0xb7'], timestamp: 1723602083.6180732
id: 0x261, data: ['0xf5', '0x06', '0x78', '0xe8', '0x49', '0x97', '0xb8', '0x6d'], timestamp: 1723602083.637574
id: 0x027, data: ['0x00', '0x20', '0xf3', '0x00', '0x39', '0x00', '0x83', '0xa4'], timestamp: 1723602083.657074
id: 0x51f, data: ['0x00', '0x33', '0x35', '0x00', '0x00', '0x00', '0xbb', '0xe1'], timestamp: 1723602083.6765742
id: 0x01a, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x69'], timestamp: 1723602083.6955738
id: 0x74a, data: ['0x4f', '0x73', '0x96', '0xff', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602083.7160738
id: 0x092, data: ['0x00', '0xcf', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602083.735574
id: 0x234, data: ['0x25', '0x8e', '0x60', '0x9a', '0x00', '0xbe', '0x08', '0x00'], timestamp: 1723602083.7545738
id: 0x25b, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0xa8', '0x00', '0x00'], timestamp: 1723602083.7740736
id: 0x659, data: ['0xd2', '0x27', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602083.7925735
id: 0x79c, data: ['0x2b', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602083.8125732
id: 0x04d, data: ['0x00', '0x00', '0x07', '0x00', '0x3c', '0x75', '0x50', '0x00'], timestamp: 1723602083.8330734
id: 0x679, data: ['0x62', '0x47', '0xaa', '0x42', '0x29', '0xe7', '0xa9', '0x66'], timestamp: 1723602083.8545737
id: 0x7e0, data: ['0x96', '0x0d', '0x8c', '0xb2', '0x4b', '0x00', '0x0c', '0x3b'], timestamp: 1723602083.8740735
id: 0x67e, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0xc6', '0x00', '0x00'], timestamp: 1723602083.893074
id: 0x379, data: ['0x00', '0x00', '0x00', '0x00', '0x73', '0x00', '0x00', '0x00'], timestamp: 1723602083.9125738
id: 0x6d8, data: ['0x1f', '0x59', '0xce', '0x00', '0xb1', '0x00', '0x00', '0x0d'], timestamp: 1723602083.9320734
id: 0x254, data: ['0x0b', '0x73', '0x00', '0x24', '0xcb', '0x00', '0x00', '0x00'], timestamp: 1723602083.9520738
id: 0x1b5, data: ['0x00', '0x7f', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602083.9720738
